parser,target_diversity,actual_ground_truth_ld,PA,PTA,RTA
Brain,0.1,0.0999435904,0.2781,0.2780,0.2187
Brain,0.2,0.2000412641,0.3815,0.3721,0.3007
Brain,0.3,0.3000261158,0.4260,0.4011,0.3356
Brain,0.4,0.3999880538,0.4877,0.4592,0.3835
Brain,0.5,0.4999787567,0.5428,0.5068,0.4316
Brain,0.6,0.6000210202,0.5939,0.5465,0.4749
Brain,0.7,0.699907193,0.6487,0.5957,0.5168
Brain,0.8,0.8000559447,0.6876,0.6291,0.5468
Brain,0.9,0.8999413953,0.7305,0.6647,0.5843
Brain,AVERAGE,,0.5308,0.4948,0.4214
Drain,0.1,0.0999435904,0.2655,0.2807,0.2113
Drain,0.2,0.2000412641,0.3539,0.3594,0.2806
Drain,0.3,0.3000261158,0.4260,0.4292,0.3357
Drain,0.4,0.3999880538,0.4952,0.4929,0.3906
Drain,0.5,0.4999787567,0.5316,0.5286,0.4166
Drain,0.6,0.6000210202,0.5870,0.5757,0.4621
Drain,0.7,0.699907193,0.6318,0.6234,0.4976
Drain,0.8,0.8000559447,0.6695,0.6599,0.5264
Drain,0.9,0.8999413953,0.7189,0.7113,0.5687
Drain,AVERAGE,,0.5199,0.5179,0.4100
Spell,0.1,0.0999435904,0.2099,0.2464,0.1694
Spell,0.2,0.2000412641,0.2734,0.3013,0.2185
Spell,0.3,0.3000261158,0.3194,0.3504,0.2557
Spell,0.4,0.3999880538,0.3785,0.4098,0.3063
Spell,0.5,0.4999787567,0.4027,0.4500,0.3256
Spell,0.6,0.6000210202,0.4240,0.4798,0.3411
Spell,0.7,0.699907193,0.4528,0.5164,0.3650
Spell,0.8,0.8000559447,0.4778,0.5463,0.3841
Spell,0.9,0.8999413953,0.4999,0.5799,0.4011
Spell,AVERAGE,,0.3820,0.4311,0.3074
Logram,0.1,0.0999435904,0.1817,0.1872,0.1483
Logram,0.2,0.2000412641,0.2712,0.2780,0.2229
Logram,0.3,0.3000261158,0.3243,0.3272,0.2679
Logram,0.4,0.3999880538,0.3890,0.3800,0.3158
Logram,0.5,0.4999787567,0.4397,0.4207,0.3469
Logram,0.6,0.6000210202,0.4858,0.4602,0.3867
Logram,0.7,0.699907193,0.5336,0.5102,0.4140
Logram,0.8,0.8000559447,0.5664,0.5428,0.4359
Logram,0.9,0.8999413953,0.6046,0.5753,0.4672
Logram,AVERAGE,,0.4218,0.4091,0.3340
LILAC,0.1,0.0999435904,0.7719,0.8055,0.6001
LILAC,0.2,0.2000412641,0.7843,0.8124,0.6104
LILAC,0.3,0.3000261158,0.7896,0.8201,0.6141
LILAC,0.4,0.3999880538,0.7888,0.8183,0.6143
LILAC,0.5,0.4999787567,0.7912,0.8245,0.6157
LILAC,0.6,0.6000210202,0.7942,0.8239,0.6173
LILAC,0.7,0.699907193,0.7996,0.8324,0.6204
LILAC,0.8,0.8000559447,0.8078,0.8407,0.6261
LILAC,0.9,0.8999413953,0.8101,0.8428,0.6301
LILAC,AVERAGE,,0.7931,0.8245,0.6165
LogDep,0.1,0.0999435904,0.9023,0.9446,0.7021
LogDep,0.2,0.2000412641,0.9002,0.9436,0.7005
LogDep,0.3,0.3000261158,0.9014,0.9435,0.7014
LogDep,0.4,0.3999880538,0.9000,0.9433,0.7003
LogDep,0.5,0.4999787567,0.9000,0.9433,0.7003
LogDep,0.6,0.6000210202,0.8997,0.9431,0.7001
LogDep,0.7,0.699907193,0.8997,0.9431,0.7001
LogDep,0.8,0.8000559447,0.8997,0.9431,0.7001
LogDep,0.9,0.8999413953,0.8997,0.9431,0.7001
LogDep,AVERAGE,,0.9003,0.9434,0.7006
